,road_link_id,time_period,volume,travel_time
t128,0,t128,1162.495339981463,4.9326109663046
t129,0,t129,1162.5567894033054,4.932610368570578
t130,0,t130,1162.6181017644153,4.93260977131753
t131,0,t131,1162.6792771554783,4.932609174545153
t132,0,t132,1162.740315667181,4.932608578253132
t133,0,t133,1162.8012173902089,4.9326079824411595
t134,0,t134,1162.8619824152474,4.932607387108926
t135,0,t135,1162.9226108329824,4.9326067922561245
t136,0,t136,1162.9831027340997,4.932606197882448
t137,0,t137,1163.0434582092853,4.9326056039875885
t138,0,t138,1163.1036773492249,4.93260501057124
t139,0,t139,1163.1637602446037,4.932604417633095
t140,0,t140,1163.2237069861083,4.93260382517285
t141,0,t141,1163.2835176644237,4.9326032331902
t142,0,t142,1163.3431923702365,4.932602641684842
t143,0,t143,1163.4027311942316,4.932602050656472
t144,0,t144,1163.462134227095,4.932601460104787
t145,0,t145,1163.521401559513,4.932600870029484
t146,0,t146,1163.5805332821706,4.9326002804302655
t147,0,t147,1163.639529485754,4.932599691306825
t148,0,t148,1163.6983902609495,4.932599102658864
t149,0,t149,1163.7571156984418,4.932598514486083
t150,0,t150,1163.8157058889174,4.9325979267881825
t151,0,t151,1163.8741609230615,4.9325973395648655
t152,0,t152,1163.93248089156,4.932596752815831
t153,0,t153,1163.9906658850994,4.932596166540783
t154,0,t154,1164.0487159943648,4.932595580739424
t155,0,t155,1164.1066313100418,4.932594995411458
t156,0,t156,1164.1644119228167,4.932594410556588
t157,0,t157,1164.2220579233747,4.932593826174521
t158,0,t158,1164.2795694024019,4.932593242264961
t159,0,t159,1164.336946450584,4.932592658827613
t160,0,t160,1164.394189158607,4.932592075862186
t161,0,t161,1164.4512976171563,4.932591493368385
t162,0,t162,1164.508271916918,4.93259091134592
t163,0,t163,1164.5651121485776,4.932590329794494
t164,0,t164,1164.6218184028207,4.93258974871382
t165,0,t165,1164.6783907703334,4.932589168103607
t166,0,t166,1164.7348293418013,4.932588587963564
t167,0,t167,1164.7911342079105,4.9325880082934015
t168,0,t168,1164.8473054593464,4.93258742909283
t169,0,t169,1164.9033431867947,4.932586850361565
t170,0,t170,1164.9592474809413,4.932586272099313
t171,0,t171,1165.0150184324723,4.93258569430579
t172,0,t172,1165.0706561320728,4.932585116980707
t173,0,t173,1165.1261606704293,4.932584540123782
t174,0,t174,1165.1815321382267,4.932583963734726
t175,0,t175,1165.2367706261514,4.932583387813254
t176,0,t176,1165.2918762248894,4.932582812359081
t177,0,t177,1165.3468490251257,4.932582237371926
t178,0,t178,1165.4016891175463,4.932581662851503
t179,0,t179,1165.4563965928373,4.932581088797531
t180,0,t180,1165.5109715416843,4.932580515209727
t181,0,t181,1165.5654140547729,4.932579942087809
t182,0,t182,1165.6197242227888,4.932579369431495
t183,0,t183,1165.6739021364183,4.932578797240508
t184,0,t184,1165.7279478863468,4.932578225514564
t185,0,t185,1165.7818615632598,4.932577654253385
t186,0,t186,1165.8356432578437,4.9325770834566915
t187,0,t187,1165.8892930607835,4.932576513124207
t188,0,t188,1165.9428110627655,4.932575943255651
t189,0,t189,1165.9961973544757,4.9325753738507485
t190,0,t190,1166.0494520265993,4.932574804909221
t191,0,t191,1166.1025751698219,4.932574236430795
t192,0,t192,1166.15556687483,4.932573668415191
t193,0,t193,1166.208427232309,4.932573100862138
t194,0,t194,1166.2611563329444,4.932572533771358
t195,0,t195,1166.3137542674224,4.932571967142578
t196,0,t196,1166.3662211264284,4.932571400975524
t197,0,t197,1166.4185570006487,4.932570835269926
t198,0,t198,1166.4707619807684,4.9325702700255105
t199,0,t199,1166.5228361574739,4.9325697052420026
t200,0,t200,1166.5747796214505,4.932569140919133
t201,0,t201,1166.6265924633835,4.932568577056633
t202,0,t202,1166.67827477396,4.93256801365423
t203,0,t203,1166.7298266438647,4.932567450711654
t204,0,t204,1166.7812481637839,4.932566888228636
t205,0,t205,1166.832539424403,4.93256632620491
t206,0,t206,1166.883700516408,4.932565764640204
t207,0,t207,1166.9347315304844,4.932565203534254
t208,0,t208,1166.985632557318,4.93256464288679
t209,0,t209,1167.0364036875953,4.93256408269755
t210,0,t210,1167.0870450120012,4.932563522966261
t211,0,t211,1167.1375566212216,4.932562963692664
t212,0,t212,1167.187938605943,4.932562404876491
t213,0,t213,1167.23819105685,4.932561846517479
t214,0,t214,1167.2883140646288,4.932561288615363
t215,0,t215,1167.3383077199658,4.932560731169881
t216,0,t216,1167.3881721135456,4.932560174180767
t217,0,t217,1167.4379073360549,4.9325596176477635
t218,0,t218,1167.4875134781794,4.932559061570607
t219,0,t219,1167.5369906306044,4.932558505949036
t220,0,t220,1167.5863388840164,4.932557950782787
t221,0,t221,1167.6355583291001,4.932557396071606
t222,0,t222,1167.684649056542,4.932556841815226
t223,0,t223,1167.7336111570278,4.932556288013394
t224,0,t224,1167.7824447212433,4.93255573466585
t225,0,t225,1167.8311498398737,4.932555181772334
t226,0,t226,1167.8797266036056,4.93255462933259
t227,0,t227,1167.9281751031242,4.932554077346362
t228,0,t228,1167.9764954291156,4.932553525813391
t229,0,t229,1168.0246876722654,4.9325529747334205
t230,0,t230,1168.0727519232591,4.932552424106198
t231,0,t231,1168.120688272783,4.932551873931468
t232,0,t232,1168.1684968115226,4.932551324208975
t233,0,t233,1168.2161776301632,4.9325507749384645
t234,0,t234,1168.2637308193912,4.932550226119685
t235,0,t235,1168.311156469892,4.932549677752383
t236,0,t236,1168.358454672352,4.932549129836303
t237,0,t237,1168.4056255174564,4.932548582371199
t238,0,t238,1168.4526690958908,4.932548035356814
t239,0,t239,1168.4995854983415,4.932547488792902
t240,0,t240,1168.546374815494,4.932546942679209
t241,0,t241,1168.5930371380339,4.932546397015487
t242,0,t242,1168.639572556647,4.932545851801485
t243,0,t243,1168.685981162019,4.932545307036956
t244,0,t244,1168.7322630448364,4.932544762721651
t245,0,t245,1168.778418295784,4.932544218855322
t246,0,t246,1168.8244470055479,4.932543675437723
t247,0,t247,1168.8703492648144,4.932543132468606
t248,0,t248,1168.9161251642684,4.932542589947723
t249,0,t249,1168.961774794596,4.932542047874832
t250,0,t250,1169.0072982464835,4.932541506249685
t251,0,t251,1169.0526956106162,4.932540965072038
t252,0,t252,1169.0979669776796,4.9325404243416475
t253,0,t253,1169.1431124383596,4.932539884058269
t254,0,t254,1169.1881320833425,4.932539344221658
t255,0,t255,1169.2330260033132,4.932538804831572
t256,0,t256,1169.277794288958,4.932538265887771
t257,0,t257,1169.3224370309629,4.932537727390012
t258,0,t258,1169.366954320013,4.932537189338052
t259,0,t259,1169.4113462467944,4.9325366517316525
t260,0,t260,1169.455612901993,4.932536114570572
t261,0,t261,1169.4997543762947,4.932535577854572
t262,0,t262,1169.5437707603844,4.932535041583412
t263,0,t263,1169.5876621449488,4.932534505756854
t264,0,t264,1169.6314286206734,4.932533970374658
t265,0,t265,1169.6750702782438,4.932533435436586
t266,0,t266,1169.7185872083458,4.932532900942405
t267,0,t267,1169.7619795016653,4.9325323668918735
t268,0,t268,1169.8052472488882,4.932531833284756
t269,0,t269,1169.8483905406997,4.932531300120818
t270,0,t270,1169.8914094677862,4.9325307673998235
t271,0,t271,1169.9343041208328,4.932530235121538
t272,0,t272,1169.977074590526,4.932529703285726
t273,0,t273,1170.0197209675512,4.932529171892153
t274,0,t274,1170.0622433425938,4.932528640940588
t275,0,t275,1170.10464180634,4.9325281104307965
t276,0,t276,1170.1469164494756,4.932527580362545
t277,0,t277,1170.1890673626863,4.932527050735604
t278,0,t278,1170.2310946366576,4.932526521549742
t279,0,t279,1170.272998362076,4.932525992804725
t280,0,t280,1170.3147786296263,4.9325254645003245
t281,0,t281,1170.3564355299948,4.932524936636311
t282,0,t282,1170.3979691538673,4.932524409212451
t283,0,t283,1170.4393795919293,4.932523882228521
t284,0,t284,1170.4806669348668,4.932523355684289
t285,0,t285,1170.5218312733653,4.932522829579528
t286,0,t286,1170.562872698111,4.932522303914009
t287,0,t287,1170.603791299789,4.932521778687507
t288,0,t288,1170.6445871690855,4.932521253899792
t289,0,t289,1170.6852603966865,4.9325207295506415
t290,0,t290,1170.7258110732773,4.932520205639829
t291,0,t291,1170.766239289544,4.932519682167125
t292,0,t292,1170.8065451361724,4.93251915913231
t293,0,t293,1170.8467287038477,4.932518636535156
t294,0,t294,1170.8867900832563,4.93251811437544
t295,0,t295,1170.9267293650835,4.932517592652942
t296,0,t296,1170.9665466400156,4.932517071367433
t297,0,t297,1171.0062419987378,4.932516550518695
t298,0,t298,1171.045815531936,4.932516030106505
t299,0,t299,1171.0852673302961,4.932515510130641
t300,0,t300,1171.124597484504,4.9325149905908825
t301,0,t301,1171.163806085245,4.932514471487008
t302,0,t302,1171.2028932232051,4.932513952818798
t303,0,t303,1171.2418589890701,4.932513434586033
t304,0,t304,1171.2807034735263,4.932512916788492
t305,0,t305,1171.3194267672588,4.932512399425958
t306,0,t306,1171.3580289609533,4.932511882498215
t307,0,t307,1171.396510145296,4.9325113660050395
t308,0,t308,1171.4348704109723,4.932510849946218
t309,0,t309,1171.4731098486682,4.932510334321534
t310,0,t310,1171.5112285490693,4.932509819130769
t311,0,t311,1171.5492266028612,4.932509304373708
t312,0,t312,1171.58710410073,4.932508790050135
t313,0,t313,1171.6248611333613,4.932508276159836
t314,0,t314,1171.6624977914412,4.9325077627025955
t315,0,t315,1171.700014165655,4.932507249678201
t316,0,t316,1171.7374103466889,4.9325067370864355
t317,0,t317,1171.7746864252279,4.932506224927089
t318,0,t318,1171.8118424919585,4.932505713199947
t319,0,t319,1171.8488786375665,4.932505201904799
t320,0,t320,1171.885794952737,4.932504691041429
t321,0,t321,1171.9225915281563,4.932504180609629
t322,0,t322,1171.95926845451,4.932503670609189
t323,0,t323,1171.9958258224842,4.932503161039897
t324,0,t324,1172.0322637227641,4.932502651901543
t325,0,t325,1172.0685822460357,4.932502143193917
t326,0,t326,1172.104781482985,4.93250163491681
t327,0,t327,1172.1408615242974,4.932501127070013
t328,0,t328,1172.176822460659,4.93250061965332
t329,0,t329,1172.212664382755,4.93250011266652
t330,0,t330,1172.2483873812716,4.932499606109408
t331,0,t331,1172.2839915468946,4.932499099981775
t332,0,t332,1172.3194769703098,4.932498594283417
t333,0,t333,1172.3548437422028,4.9324980890141275
t334,0,t334,1172.3900919532593,4.9324975841737
t335,0,t335,1172.4252216941654,4.932497079761927
t336,0,t336,1172.4602330556063,4.93249657577861
t337,0,t337,1172.4951261282683,4.9324960722235405
t338,0,t338,1172.5299010028368,4.932495569096512
t339,0,t339,1172.5645577699977,4.93249506639733
t340,0,t340,1172.599096520437,4.932494564125784
t341,0,t341,1172.6335173448401,4.932494062281673
t342,0,t342,1172.667820333893,4.932493560864796
t343,0,t343,1172.7020055782812,4.932493059874953
t344,0,t344,1172.7360731686908,4.932492559311939
t345,0,t345,1172.7700231958072,4.932492059175558
t346,0,t346,1172.8038557503166,4.932491559465604
t347,0,t347,1172.8375709229044,4.932491060181883
t348,0,t348,1172.8711688042565,4.932490561324193
t349,0,t349,1172.904649485059,4.9324900628923345
t350,0,t350,1172.9380130559969,4.932489564886108
t351,0,t351,1172.9712596077563,4.932489067305319
t352,0,t352,1173.0043892310234,4.932488570149767
t353,0,t353,1173.0374020164834,4.932488073419257
t354,0,t354,1173.0702980548224,4.932487577113588
t355,0,t355,1173.103077436726,4.932487081232571
t356,0,t356,1173.1357402528797,4.9324865857760045
t357,0,t357,1172.2716752618599,4.940775266061846
t358,0,t358,1169.7471185386253,4.967385395921374
t359,0,t359,1167.3011282225332,5.0013060760854735
t360,0,t360,1165.0396277853486,5.039521318564936
t361,0,t361,1162.9488350197153,5.079829584929352
t362,0,t362,1161.0159974514802,5.120414445497496
t363,0,t363,1159.2293153704604,5.1599224155227885
t364,0,t364,1157.577870615991,5.19744431084003
t365,0,t365,1156.051560686904,5.232444020323169
t366,0,t366,1154.641037777784,5.2646700413724465
t367,0,t367,1153.3376523731176,5.294071474403795
t368,0,t368,1152.133401058503,5.320728458787899
t369,0,t369,1151.0208782335817,5.344799438471179
t370,0,t370,1149.9932314349346,5.366483729745016
t371,0,t371,1149.0441199989996,5.385996394962756
t372,0,t372,1148.1676768152693,5.403552286228827
t373,0,t373,1147.3584729386841,5.419356561914947
t374,0,t374,1146.6114848474404,5.433599578552829
t375,0,t375,1145.9220641483967,5.446454625953838
t376,0,t376,1145.2859095470835,5.458077434278948
t377,0,t377,1144.6990409129714,5.468606729022512
t378,0,t378,1144.157775283354,5.478165358771526
t379,0,t379,1143.6587046608822,5.486861692898896
t380,0,t380,1143.198675470655,5.494791102482128
t381,0,t381,1142.7747695527778,5.5020374142744135
t382,0,t382,1142.3842865755942,5.508674276930068
t383,0,t383,1142.0247277633705,5.514766409817524
t384,0,t384,1141.693780840165,5.520370723840535
t385,0,t385,1141.3893060989508,5.525537314951126
t386,0,t386,1141.1093235118728,5.530310337300153
t387,0,t387,1140.8520008038001,5.534728766098946
t388,0,t388,1140.6156424171602,5.538827061475058
t389,0,t389,1140.3986793014246,5.542635744681769
t390,0,t390,1140.1996594656014,5.5461818974633434
t391,0,t391,1140.0172392366871,5.549489594498363
t392,0,t392,1139.850175171319,5.552580277832295
t393,0,t393,1139.6973165717861,5.555473081181188
t394,0,t394,1139.557598561232,5.558185111004172
t395,0,t395,1139.4300356762465,5.560731690336385
t396,0,t396,1139.3137159381733,5.563126570559628
t397,0,t397,1139.2077953673531,5.565382115568317
t398,0,t398,1139.1114929071907,5.567509462159255
t399,0,t399,1139.0240857274232,5.569518659928572
t400,0,t400,1138.9449048782387,5.571418793489262
t401,0,t401,1138.8733312690294,5.573218089419442
t402,0,t402,1138.808791947513,5.574924010006233
t403,0,t403,1138.7507566567785,5.576543335555246
t404,0,t404,1138.6987346494805,5.578082236783902
t405,0,t405,1138.6522717399725,5.579546338602198
t406,0,t406,1138.610947576592,5.580940776401345
t407,0,t407,1138.5743731176467,5.582270245814562
t408,0,t408,1138.5421882958854,5.583539046780932
t409,0,t409,1138.5140598573641,5.584751122629391
t410,0,t410,1138.489679361679,5.585910094802481
t411,0,t411,1138.4687613315089,5.5870192937561844
t412,0,t412,1138.451041540312,5.58808178650075
t413,0,t413,1138.436275427854,5.5891004011860765
t414,0,t414,1138.42423663402,5.590077749082641
t415,0,t415,1138.4147156420668,5.591016244263543
t416,0,t416,1135.5204398994488,5.617423257637693
t417,0,t417,1129.3851350132602,5.680608160473688
t418,0,t418,1124.0672114491388,5.7517379493556735
t419,0,t419,1119.457700561045,5.8243578686549276
t420,0,t420,1115.4621886878172,5.893969323950081
t421,0,t421,1111.9988708660724,5.957999622868987
t422,0,t422,1108.996864961138,6.015350162408029
t423,0,t423,1106.3947513594396,6.065877066797019
t424,0,t424,1104.1393080321639,6.109970621670216
t425,0,t425,1102.1844148216426,6.148269518666422
t426,0,t426,1100.4901043023885,6.181488573973051
t427,0,t427,1099.0217396005626,6.210325351328183
t428,0,t428,1097.749302181547,6.2354158680900404
t429,0,t429,1096.6467748896648,6.257318425115572
t430,0,t430,1095.6916074939354,6.276512334083681
t431,0,t431,1094.8642536998873,6.293403766799091
t432,0,t432,1094.1477700651715,6.308334411174189
t433,0,t433,1093.5274685366087,6.321590678750437
t434,0,t434,1092.9906154348407,6.333412379123995
t435,0,t435,1092.526170672907,6.344000414233907
t436,0,t436,1092.1245618266723,6.353523376438512
t437,0,t437,1091.7774883953116,6.362123094492962
t438,0,t438,1091.4777522139275,6.3699192396474755
t439,0,t439,1091.2191105207307,6.377013124505358
t440,0,t440,1090.996148649224,6.383490824463511
t441,0,t441,1090.8041697212175,6.389425738624066
t442,0,t442,1090.6390990676186,6.394880690811254
t443,0,t443,1090.4974014080476,6.399909655086579
t444,0,t444,1090.3760090837586,6.404559175409169
t445,0,t445,1090.2722598664989,6.4088695363539845
t446,0,t446,1090.1838430635628,6.412875731121381
t447,0,t447,1090.1087528104817,6.4166082642743385
t448,0,t448,1090.0452475910433,6.420093819473842
t449,0,t449,1089.9918151527847,6.4233558166855875
t450,0,t450,1089.9471420973248,6.426414878660139
t451,0,t451,1089.9100875212707,6.428988945391398
t452,0,t452,1084.531673960726,6.493273957451738
t453,0,t453,1078.6725428336151,6.583789824559125
t454,0,t454,1073.5932731241994,6.681602833733741
t455,0,t455,1069.1902229599818,6.7790330885230325
t456,0,t456,1065.3735276176553,6.871030925547143
t457,0,t457,1062.0652678318074,6.954901761377388
t458,0,t458,1059.1978816455107,7.0296586509485595
t459,0,t459,1056.71278742099,7.0953772838663225
t460,0,t460,1054.5591899340268,7.152703829274346
t461,0,t461,1052.6930452088222,7.202531714578938
t462,0,t462,1051.07616298675,7.245811526000469
t463,0,t463,1049.6754285288082,7.283450572870772
t464,0,t464,1048.4621278848015,7.316267184369127
t465,0,t465,1047.4113628720238,7.344975921940948
t466,0,t466,1046.501543835401,7.370188911851358
t467,0,t467,1045.7139498470624,7.392424682046182
t468,0,t468,1045.032347378423,7.412119758024941
t469,0,t469,1044.442659670145,7.429640561406191
t470,0,t470,1043.932680059094,7.445294450293465
t471,0,t471,1043.4918234177114,7.45933944374983
t472,0,t472,1043.1109106383471,7.471992535740273
t473,0,t473,1042.7819817688933,7.483436677613314
t474,0,t474,1042.498133990268,7.493826579898147
t475,0,t475,1042.253381132811,7.503293503206126
t476,0,t476,1042.0425318678488,7.511949201546516
t477,0,t477,1041.8610840914434,7.519889164005017
t478,0,t478,1041.7051333475035,7.527195280054423
t479,0,t479,1041.5712934236813,7.533938033466684
t480,0,t480,1041.4566275016657,7.540178311495786
t481,0,t481,1041.3585884586657,7.545968900242349
t482,0,t482,1041.2749671034605,7.551355723903135
t483,0,t483,1041.2038472921547,7.556378874722231
t484,0,t484,1041.1435670090257,7.561073471581203
t485,0,t485,1041.0926846194723,7.565470377969268
t486,0,t486,1041.0499496074922,7.569426563340383
t487,0,t487,1038.8868932164005,7.607293998297906
t488,0,t488,1032.5767619826588,7.723446274390571
t489,0,t489,1027.1064306166911,7.856854040007207
t490,0,t490,1022.3642669546643,7.995332517453355
t491,0,t491,1018.2534777282029,8.129927466243947
t492,0,t492,1014.6901360211034,8.25516631683334
t493,0,t493,1011.6014709411197,8.368409449703615
t494,0,t494,1008.9243846497117,8.468954766976767
t495,0,t495,1006.6041665263224,8.557251696944165
t496,0,t496,1004.5933782614632,8.634335856520371
t497,0,t497,1002.8508871565027,8.701470532227917
t498,0,t498,1001.3410279285783,8.759941353742974
t499,0,t499,1000.0328759380637,8.810951027974612
t500,0,t500,998.8996170268556,8.855574063338251
t501,0,t501,997.9180011247331,8.894744917063827
t502,0,t502,997.0678684882624,8.929263284642476
t503,0,t503,996.3317389170127,8.959807120036777
t504,0,t504,995.6944555753493,8.986948232110738
t505,0,t505,995.1428761609508,9.011167810310027
t506,0,t506,994.6656051261442,9.032870650428533
t507,0,t507,994.2527614948239,9.052397620611176
t508,0,t508,993.8957775431587,9.070036304006392
t509,0,t509,993.5872242413174,9.086029942478513
t510,0,t510,993.3206598988259,9.100584881247903
t511,0,t511,993.0904989290694,9.113876731557935
t512,0,t512,992.891898058481,9.12605545759276
t513,0,t513,992.7206576614811,9.137249571150099
t514,0,t514,992.5731362104982,9.14756959146788
t515,0,t515,992.4461760976758,9.157110902255992
t516,0,t516,992.3370393166384,9.165956115206464
t517,0,t517,992.2433516936195,9.174177029638209
t518,0,t518,992.1630545314946,9.181836261461019
t519,0,t519,992.0943626813366,9.18898860103176
t520,0,t520,992.0357281870952,9.195682148338186
t521,0,t521,991.9858087625742,9.201959264890013
t522,0,t522,991.943440458373,9.207174780554778
t523,0,t523,985.9558150043825,9.35366112434555
t524,0,t524,980.1427831310538,9.545306675120269
t525,0,t525,975.1030622340705,9.753114611303534
t526,0,t526,970.7338615538063,9.96155418047007
t527,0,t527,966.9460530532972,10.160058950867679
t528,0,t528,963.6623553903094,10.34266268012447
t529,0,t529,960.815759273547,10.506862961552386
t530,0,t530,958.3481621185089,10.652410717631486
t531,0,t531,956.209184183123,10.780340195260887
t532,0,t532,954.3551420610876,10.892302094465435
t533,0,t533,952.7481586171077,10.990151798748434
t534,0,t534,951.3553912283367,11.075718407194147
t535,0,t535,950.1483626069004,11.150689440597725
t536,0,t536,949.1023805685422,11.216564176107463
t537,0,t537,948.1960349247837,11.274644947052602
t538,0,t538,947.4107612474288,11.326047722697977
t539,0,t539,946.7304626168261,11.371721170212233
t540,0,t540,946.1411816467532,11.412468276231511
t541,0,t541,945.630816103221,11.448967485972421
t542,0,t542,945.1888723227473,11.481791956096837
t543,0,t543,944.8062514058398,11.511426412657668
t544,0,t544,944.4750638292553,11.538281569636412
t545,0,t545,944.1884686996453,11.562706284849968
t546,0,t546,943.9405343732873,11.584997718619467
t547,0,t547,943.7261176019557,11.60540977980787
t548,0,t548,943.5407587424603,11.624160129145698
t549,0,t549,943.3805908946952,11.641435980592044
t550,0,t550,943.24226111684,11.657398908064609
t551,0,t551,943.1228621124403,11.672188832323078
t552,0,t552,943.0198729974571,11.685927333387585
t553,0,t553,942.9311079403961,11.698720408402385
t554,0,t554,942.8546716290397,11.710660773338995
t555,0,t555,942.7889206563959,11.721829789044172
t556,0,t556,942.7324300391055,11.732299077415023
t557,0,t557,942.6839641860988,11.741459717088567
t558,0,t558,939.1149006873991,11.887117049187221
t559,0,t559,932.9669535164579,12.183468064331057
t560,0,t560,927.6364828396515,12.521633579818078
t561,0,t561,923.0148316145591,12.874082520264341
t562,0,t562,919.0077848262293,13.219926071217774
t563,0,t563,915.5336499403759,13.545668437147626
