road_link_id,name,from_node_id,to_node_id,link_geom_id,dir_flag,capacity,free_speed,lanes,bike_facility,ped_facility,parking,allowed_uses,facility_type,grade,from_node,to_node,length,LinkType,Desc
100290 100010,Pierce,100290,100010,996,-1,1271,28,1,,,,,Arterial,,100290,100010,258,5,Arterial
100290 101999,Pierce,100290,101999,1414,1,1800,24,1,,,,,Arterial,,100290,101999,207,5,Arterial
100291 185,,100291,185,458,-1,1800,25,1,,,,,HOT,,100291,185,402,6,HOT
100291 100249,McDonel,100291,100249,1361,-1,1228,23,1,,,,,Arterial,,100291,100249,267,5,Arterial
100291 100252,McDonel,100291,100252,1365,-1,1228,23,1,,,,,Arterial,,100291,100252,248,5,Arterial
100292 185,,100292,185,459,-1,1800,25,1,,,,,HOT,,100292,185,428,6,HOT
100292 101857,Metcalf,100292,101857,1415,1,1497,29,1,,,,,Highway,,100292,101857,285,7,Highway
100292 101870,Metcalf,100292,101870,1416,1,1734,29,1,,,,,Highway,,100292,101870,225,7,Highway
100293 186,,100293,186,461,-1,1800,25,1,,,,,HOT,,100293,186,442,6,HOT
100293 100252,McDonel,100293,100252,1366,-1,1676,23,1,,,,,Arterial,,100293,100252,253,5,Arterial
100293 100253,McDonel,100293,100253,1368,-1,1228,23,1,,,,,Arterial,,100293,100253,212,5,Arterial
100294 186,,100294,186,462,-1,1800,25,1,,,,,HOT,,100294,186,369,6,HOT
100294 101870,Metcalf,100294,101870,1417,1,1548,29,1,,,,,Highway,,100294,101870,253,7,Highway
100294 101871,Metcalf,100294,101871,1418,1,1734,29,1,,,,,Highway,,100294,101871,208,7,Highway
100295 185,,100295,185,460,-1,1800,25,1,,,,,HOT,,100295,185,227,6,HOT
100295 186,,100295,186,463,-1,1800,25,1,,,,,HOT,,100295,186,242,6,HOT
100295 100252,High,100295,100252,1419,1,1271,28,2,,,,,Arterial,,100295,100252,424,5,Arterial
100296 186,,100296,186,464,-1,1800,25,1,,,,,HOT,,100296,186,233,6,HOT
100296 100253,North,100296,100253,1369,-1,1228,27,1,,,,,Highway,,100296,100253,435,7,Highway
100296 101871,North,100296,101871,1420,1,1497,27,1,,,,,Highway,,100296,101871,390,7,Highway
101764 100285,Charles,101764,100285,1404,-1,1734,27,1,,,,,Arterial,,101764,100285,581,5,Arterial
101764 101868,Charles,101764,101868,1873,1,1734,28,1,,,,,Arterial,,101764,101868,383,5,Arterial
101764 101872,North,101764,101872,1874,1,1497,30,1,,,,,Highway,,101764,101872,758,7,Highway
101778 177,,101778,177,429,-1,1800,25,1,,,,,HOT,,101778,177,372,6,HOT
101778 101861,Market,101778,101861,1890,1,1602,29,2,,,,,Highway,,101778,101861,268,7,Highway
